,date_time,deg_C,relative_humidity,absolute_humidity,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,target_carbon_monoxide,target_benzene,target_nitrogen_oxides,weekday,apply_step3
2,2010-03-10 20:00:00,12.6,56.2,0.7502,1331.9,929.6,1060.2,1586.1,1117.0,2.2,9.2,127.1,2,1473048.521215933
3,2010-03-10 21:00:00,11.0,62.4,0.7867,1321.0,929.0,1102.9,1536.5,1263.2,2.2,9.7,177.2,2,1426018.4612159329
4,2010-03-10 22:00:00,11.9,59.0,0.7888,1272.0,852.7,1180.9,1415.5,1132.2,1.5,6.4,121.8,2,1205606.811215933
5,2010-03-10 23:00:00,11.2,56.8,0.7848,1220.9,697.5,1417.2,1462.6,949.0,1.2,4.4,88.1,2,1018773.4612159329
6,2010-03-11 00:00:00,10.7,55.7,0.7603,1244.2,669.3,1491.2,1413.0,769.6,1.2,3.7,59.5,3,944330.8612159329
7,2010-03-11 01:00:00,10.3,57.0,0.7702,1181.4,631.7,1511.1,1359.7,715.4,1.0,3.4,63.9,3,857532.4512159331
8,2010-03-11 02:00:00,10.1,62.7,0.7648,1159.6,602.9,1610.6,1212.2,657.2,0.9,2.2,46.4,3,971030.7399999999
9,2010-03-11 03:00:00,10.5,59.6,0.7517,1030.2,521.7,1790.2,1148.6,491.0,0.6,1.6,43.0,3,933947.3400000001
10,2010-03-11 04:00:00,9.4,59.9,0.7465,960.4,490.1,1781.6,1244.9,431.6,0.7,1.4,21.0,3,873162.16
11,2010-03-11 05:00:00,11.4,58.4,0.7366,1119.3,522.2,1898.8,1122.9,443.1,0.7,1.0,16.3,3,991553.3600000001
12,2010-03-11 06:00:00,10.3,56.4,0.7353,1009.9,553.0,1755.4,1208.8,495.6,0.7,1.7,32.6,3,970736.2000000001
13,2010-03-11 07:00:00,10.0,58.4,0.7417,1201.2,640.3,1475.1,1339.0,686.2,1.1,3.2,100.9,3,944506.5299999999
14,2010-03-11 08:00:00,10.7,55.1,0.7408,1373.0,927.0,1181.4,1471.5,1046.9,1.9,8.3,167.0,3,1362690.4612159329
15,2010-03-11 09:00:00,11.0,62.4,0.7691,1378.0,969.6,1122.2,1583.0,1069.1,2.1,9.3,126.4,3,1533486.761215933
16,2010-03-11 10:00:00,10.9,61.9,0.7552,1196.0,793.9,1230.2,1431.5,799.8,1.7,6.6,104.2,3,1135077.8112159327
17,2010-03-11 11:00:00,11.1,56.7,0.7352,1155.4,769.6,1354.6,1266.7,664.3,1.6,5.1,96.9,3,1042500.1599999999
18,2010-03-11 12:00:00,9.4,62.1,0.7951,1174.2,727.6,1379.1,1429.0,644.1,1.6,5.4,106.1,3,1038350.361215933
19,2010-03-11 13:00:00,8.2,77.9,0.8393,1311.7,895.1,1220.1,1629.2,846.9,2.0,7.4,146.0,3,1456906.881215933
20,2010-03-11 14:00:00,8.5,84.3,0.8736,1357.3,1013.3,963.3,1712.7,1099.2,2.8,12.0,204.9,3,1734088.8712159328
21,2010-03-11 15:00:00,7.7,74.2,0.8778,1310.0,905.0,1103.6,1630.5,917.6,2.2,9.1,182.2,3,1474212.4612159329
22,2010-03-11 16:00:00,9.5,73.3,0.8569,1227.4,857.3,1080.9,1622.8,976.1,2.3,8.1,194.9,3,1389836.4012159328
23,2010-03-11 17:00:00,9.5,62.9,0.8185,1424.5,999.6,937.4,1684.6,1037.8,2.8,11.4,257.6,3,1682536.1212159328
24,2010-03-11 18:00:00,10.4,67.4,0.8065,1501.9,1266.2,743.1,1937.2,1366.7,4.7,21.6,275.4,3,2451492.601215933
25,2010-03-11 19:00:00,9.5,69.3,0.8319,1776.0,1398.7,723.1,2239.7,1584.7,7.2,28.2,406.0,3,3131278.3512159325
26,2010-03-11 20:00:00,10.1,63.7,0.8133,1607.2,1390.0,735.6,2103.4,1538.2,6.1,25.2,337.0,3,2922335.961215933
27,2010-03-11 21:00:00,8.6,67.8,0.7419,1378.6,1033.0,890.0,1809.4,1220.8,3.9,13.6,242.4,3,1867720.161215933
28,2010-03-11 22:00:00,7.8,62.8,0.6905,994.0,704.1,1364.8,1319.7,812.8,1.5,4.7,87.4,3,960955.68
29,2010-03-11 23:00:00,8.7,58.4,0.6657,931.3,660.4,1486.8,1239.5,585.1,1.1,2.5,45.6,3,981882.72
30,2010-03-12 00:00:00,8.8,56.7,0.6438,1026.0,772.8,1329.2,1333.8,791.5,1.7,5.7,119.6,4,1027205.76
31,2010-03-12 01:00:00,7.8,59.1,0.6308,991.8,829.0,1321.8,1309.1,873.6,1.8,6.1,123.7,4,1095772.2
32,2010-03-12 02:00:00,6.6,59.9,0.6276,918.8,753.9,1423.9,1212.7,726.6,1.4,3.8,80.4,4,1073478.21
33,2010-03-12 03:00:00,6.9,66.0,0.6261,835.7,574.0,1646.4,1258.2,491.5,0.8,2.0,48.4,4,945033.6000000001
34,2010-03-12 04:00:00,5.7,69.9,0.6248,822.7,475.6,1855.1,1088.6,403.2,0.5,1.1,20.4,4,882285.56
35,2010-03-12 05:00:00,6.1,64.4,0.6233,889.4,531.1,1914.0,1143.4,378.2,0.6,1.0,28.5,4,1016525.4
36,2010-03-12 06:00:00,6.6,64.8,0.6234,908.5,605.3,1769.2,1284.2,477.3,0.8,1.9,59.4,4,1070896.76
37,2010-03-12 07:00:00,6.3,62.5,0.6316,1058.3,766.5,1456.4,1401.8,695.6,1.5,4.7,109.0,4,1073089.6612159328
38,2010-03-12 08:00:00,7.4,63.1,0.6499,1682.2,1186.6,923.9,1995.0,1400.0,4.6,16.6,297.8,4,2365876.961215933
39,2010-03-12 09:00:00,8.8,52.3,0.6561,1452.3,1434.2,774.7,2119.7,1603.9,4.3,23.4,265.8,4,3038683.7012159326
50,2010-03-12 20:00:00,12.5,51.0,0.7478,1953.6,1690.5,642.7,2270.5,1792.6,6.8,34.6,357.0,4,3836890.211215933
51,2010-03-12 21:00:00,12.0,53.8,0.7536,1566.0,1286.0,759.5,1882.8,1545.6,4.4,20.1,287.7,4,2419890.7612159327
52,2010-03-12 22:00:00,11.4,60.3,0.774,1498.8,1070.6,830.6,1671.3,1535.7,3.6,14.3,265.7,4,1787903.7412159326
53,2010-03-12 23:00:00,9.2,61.4,0.7771,1693.8,1346.0,696.5,1979.5,1640.4,5.7,22.0,294.0,4,2663016.961215933
102,2010-03-15 00:00:00,13.9,54.7,0.9164,1226.6,837.1,1024.4,1639.8,1200.0,1.7,6.9,107.1,0,1371286.541215933
103,2010-03-15 01:00:00,13.4,53.0,0.9094,1239.0,861.5,959.5,1496.7,1162.3,1.8,6.5,98.6,0,1288017.011215933
104,2010-03-15 02:00:00,12.5,62.5,0.9361,1285.2,863.6,1008.0,1581.7,1114.5,1.8,7.4,113.4,0,1364566.081215933
105,2010-03-15 03:00:00,12.3,62.9,0.923,1024.1,770.7,1161.8,1442.4,1021.0,1.2,4.4,71.7,0,1110267.641215933
106,2010-03-15 04:00:00,12.3,63.4,0.9351,1034.9,668.3,1207.5,1468.0,1013.0,1.0,4.0,62.0,0,979674.3612159329
107,2010-03-15 05:00:00,12.6,64.0,0.9375,1128.8,653.8,1213.8,1420.1,979.7,1.0,3.9,88.9,0,927071.3412159329
108,2010-03-15 06:00:00,11.3,69.1,0.9475,1180.1,780.2,1081.5,1568.2,1104.7,1.4,6.5,140.8,0,1222119.601215933
